GRB name , RA (J2000.0) , Dec (J2000.0) , Error Radius , Redshift , trigger time , LAT Boresight(degrees) , Position source , 
1 , 140810A , 119.04 , 27.55 , 0.12 , - , 429389173.09 , 88.862 , Fermi-LAT , 
2 , 140729A , 195.95 , 15.35 , 5.0 , - , 428287016.71 , 41.702 , Fermi-GBM , 
3 , 140723A , 210.63 , -3.73 , 0.35 , - , 427772193.73 , 38 , Fermi-LAT , 
4 , 140619B , 132.68 , -9.66 , 0.06 , - , 424869883.51 , 28.967 , Fermi-LAT , 
5 , 140523A , 133.3 , 24.95 , 0.4 , - , 422507160 , 27.752 , Fermi-LAT , 
6 , 140402A , 207.46 , 5.87 , 0.14 , - , 418090210 , 47.296 , Fermi-LAT , 
7 , 140329A , 145.698 , -32.229 , 0.2 , - , 417769481.33 , 99.128 , Fermi-LAT , 
8 , 140323A , 356.95962 , -79.90455 , 4.44e-4 , - , 417262994.9 , 69.168 , Swift-XRT , 
9 , 140219A , 156.44 , 7.46 , 5.0 , - , 414531995 , 111.26 , IPN , 
10 , 140206B , 315.26 , -8.51 , 0.23 , - , 413361375 , 85.431 , Fermi-LAT , 
11 , 140110A , 28.9 , -36.26 , 0.50 , - , 411027520.94 , 68.981 , Fermi-LAT , 
12 , 140104B , 218.81 , -8.9 , 0.22 , - , 410549526.15 , 36.431 , Fermi-LAT , 
13 , 140102A , 211.91939 , 1.33329 , 1.4e-4 , - , 410390260.64 , 45.135 , Swift-UVOT , 
14 , 131231A , 10.590271 , -1.6529472 , 8.3e-5 , 0.642 , 410157919.08 , 42.058 , NOT , 
15 , 131216A , 91.59 , -35.5 , 2.7 , - , 408851795.06 , 76.714 , Fermi-GBM , 
16 , 131209A , 136.5 , -33.2 , 0.9 , - , 408287279.97 , 53.581 , Fermi-LAT , 
17 , 131108A , 156.50179 , 9.6624722 , 4.44e-4 , 2.4 , 405636118 , 23.388 , Swift-XRT , 
18 , 131029A , 200.785 , 48.298 , 0.26 , - , 404781651 , 93.693 , Fermi-LAT , 
19 , 131018B , 304.41 , 23.11 , 0.13 , - , 403805322 , 44.846 , Fermi-LAT , 
20 , 131014A , 100.5 , -19.1 , 0.45 , - , 403420143 , 75.481 , Fermi-LAT , 
21 , 130907A , 215.89183 , 45.60753 , 1.39e-4 , 1.238 , 400282942 , 57.401 , UVOT , 
22 , 130828A , 259.797 , 28.2155 , 0.26457 , - , 399367203 , 45.534 , IPN , 
23 , 130821A , 314.1 , -12 , 0.1 , - , 398794231 , 47.927 , Fermi-LAT , 
24 , 130702A , 217.31158 , 15.774 , 0 , 0.145 , 394416326 , 77.695 , iPTF , 
25 , 130606B , 218.574 , -22.131 , 0.1 , - , 392212536 , 8.4725 , Fermi-LAT , 
26 , 130518A , 355.671 , 47.478 , 0.05 , 2.488 , 390578080 , 82.664 , Swift-BAT , 
27 , 130504C , 91.6304 , 3.8338889 , 0.06 , - , 389402940 , 51.599 , Swift-XRT , 
28 , 130502B , 66.76175 , 71.0607 , -- , - , 389173874 , 97.012 , TNG , 
29 , 130427A , 173.136 , 27.7129 , 0.0013 , 0.3399 , 388741629 , 63.905 , Swift-XRT , 
30 , 130327B , 217.87487 , -69.403444 , 1.14e-3 , - , 386065447 , 86.005 , Swift-XRT , 
31 , 130325A , 122.78 , -18.9 , 0.25 , - , 385879917 , 75.878 , Fermi-LAT , 
32 , 130310A , 142.34 , -17.23 , 0.45 , - , 384638984 , 50.842 , Fermi-LAT , 
33 , 130305A , 116.765 , 52.025 , 0.0583 , - , 384176354 , 99.616 , Swift-BAT , 
34 , 130228A , 255.46 , 55.02 , 0.5 , - , 383712005 , 44.48 , ROTSE , 
35 , 130206A , 140.375 , -58.16 , 0.05 , - , 381872193 , 68.93 , Swift-BAT , 
36 , 121225B , 310.45 , -34.83 , 1.5 , - , 378122456 , 92.114 , Fermi-GBM , 
37 , 121011A , 260.2 , 41.137 , 0.0001 , - , 371646928 , 86.038 , Swift-XRT , 
38 , 120916A , 205.81 , 36.66 , 0.3 , - , 369461323 , 60.091 , Fermi-LAT , 
39 , 120911B , 172.03 , -37.51 , 0.3 , - , 369037578 , 24.182 , Fermi-LAT , 
40 , 120830A , 88.5027 , -28.70178 , 1.52e-4 , - , 368003226 , 26.01 , Fermi-GBM , 
41 , 120711A , 94.69 , -71 , 0.044 , 1.405 , 363667496 , 84.953 , Integral , 
42 , 120709A , 318.4 , -50.1 , 0.46 , - , 363561103 , 40.171 , Fermi-LAT , 
43 , 120624B , 170.87363 , 8.9246389 , -- , - , 362269436 , 27.742 , VLT , 
44 , 120328B , 228.14 , 22.8 , 1.0 , - , 354608782 , 105.54 , Fermi-GBM , 
45 , 120316A , 57.016 , -56.288 , 0.584 , - , 353549464 , 55.308 , IPN , 
46 , 120226A , 302.93 , 48.665 , 6.01 , - , 351982459 , 41.734 , IPN , 
